"Step","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX"
"187","0.226715087890625","0.19477462768554688","0.2586555480957031","-1.335031509399414","-1.3886756896972656","-1.2813873291015625"
"189","0.22111892700195312","0.19042205810546875","0.2518157958984375","-1.341714859008789","-1.4183235168457031","-1.265106201171875"
"191","0.22134017944335938","0.1907806396484375","0.25189971923828125","-1.335235595703125","-1.397003173828125","-1.273468017578125"
"193","0.21924972534179688","0.18981552124023438","0.24868392944335938","-1.370065689086914","-1.4261016845703125","-1.3140296936035156"
"195","0.21740341186523438","0.18828582763671875","0.24652099609375","-1.3608360290527344","-1.4125213623046875","-1.3091506958007812"
"197","0.21424484252929688","0.18505096435546875","0.243438720703125","-1.3545799255371094","-1.4201736450195312","-1.2889862060546875"
"199","0.2117328643798828","0.1842803955078125","0.23918533325195312","-1.3855361938476562","-1.4346427917480469","-1.3364295959472656"
"201","0.21134567260742188","0.1820220947265625","0.24066925048828125","-1.3885478973388672","-1.4463081359863281","-1.3307876586914062"
"203","0.21065521240234375","0.18275833129882812","0.23855209350585938","-1.3790264129638672","-1.4293174743652344","-1.3287353515625"
"205","0.2079944610595703","0.182098388671875","0.23389053344726562","-1.4102115631103516","-1.4727249145507812","-1.3476982116699219"
"207","0.20524978637695312","0.18067169189453125","0.229827880859375","-1.3989181518554688","-1.4549713134765625","-1.342864990234375"
"209","0.20461273193359375","0.17863845825195312","0.23058700561523438","-1.409261703491211","-1.458221435546875","-1.3603019714355469"
"211","0.2008075714111328","0.175384521484375","0.22623062133789062","-1.3999347686767578","-1.4462966918945312","-1.3535728454589844"
